token_idx,phase,layer,k_required,k_hit,k_miss,ssd_read_us,h2d_us,compute_us,stall_us,cache_resident_experts,predictor
16,prefill,8,64,44,20,46931,8657,0,55588,96,eamc
16,prefill,9,64,48,16,35723,6874,0,42597,96,eamc
16,prefill,10,64,45,19,43780,8015,0,51795,96,eamc
16,prefill,11,64,52,12,19814,4951,0,24765,96,eamc
16,prefill,12,64,50,14,17927,6098,0,24025,96,eamc
16,prefill,13,64,53,11,22143,4877,0,27020,96,eamc
16,prefill,14,64,49,15,30801,6526,0,37327,96,eamc
16,prefill,15,64,49,15,22042,6175,0,28217,96,eamc
16,prefill,16,64,54,10,16438,4286,0,20724,96,eamc
16,prefill,17,64,60,4,9266,1778,0,11044,96,eamc
16,prefill,18,64,51,13,24015,5772,0,29787,96,eamc
16,prefill,19,64,51,13,22305,5432,0,27737,96,eamc
16,prefill,20,64,44,20,39148,8773,0,47921,96,eamc
16,prefill,21,64,46,18,33415,7846,0,41261,96,eamc
16,prefill,22,64,52,12,19914,5082,0,24996,96,eamc
16,prefill,23,64,51,13,14156,5635,0,19791,96,eamc
16,prefill,24,64,44,20,38349,8666,0,47015,96,eamc
16,prefill,25,64,50,14,27402,5986,0,33388,96,eamc
16,prefill,26,64,50,14,25394,6038,0,31432,96,eamc
16,prefill,27,64,49,15,21008,6123,0,27131,96,eamc
16,prefill,28,64,57,7,9426,3111,0,12537,96,eamc
16,prefill,29,64,54,10,22195,5185,0,27380,96,eamc
16,prefill,30,64,54,10,24907,5003,0,29910,96,eamc
16,prefill,31,64,40,24,51954,11406,0,63360,96,eamc
16,prefill,32,64,46,18,39056,8998,0,48054,96,eamc
16,prefill,33,64,46,18,44951,8951,0,53902,96,eamc
16,prefill,34,64,55,9,22856,4663,0,27519,96,eamc
16,prefill,35,64,45,19,37571,8953,0,46524,96,eamc
16,prefill,36,64,44,20,50002,10009,0,60011,96,eamc
16,prefill,37,64,47,17,44505,8415,0,52920,96,eamc
16,prefill,38,64,49,15,33255,7360,0,40615,96,eamc
16,prefill,39,64,47,17,43341,7897,0,51238,96,eamc
24,prefill,0,64,42,22,32086,8962,0,41048,96,eamc
24,prefill,1,64,44,20,33226,8063,0,41289,96,eamc
24,prefill,2,64,32,32,41280,12999,0,54279,96,eamc
24,prefill,3,64,48,16,24355,6543,0,30898,96,eamc
24,prefill,4,64,52,12,22373,4972,0,27345,96,eamc
24,prefill,5,64,51,13,22820,5307,0,28127,96,eamc
24,prefill,6,64,49,15,25243,6458,0,31701,96,eamc
24,prefill,7,64,53,11,19752,4571,0,24323,96,eamc
24,prefill,8,64,57,7,13307,2856,0,16163,96,eamc
24,prefill,9,64,60,4,3235,1563,0,4798,96,eamc
24,prefill,10,64,58,6,6507,2366,0,8873,96,eamc
24,prefill,11,64,56,8,12016,3221,0,15237,96,eamc
24,prefill,12,64,53,11,18239,4503,0,22742,96,eamc
24,prefill,13,64,53,11,18279,4471,0,22750,96,eamc
24,prefill,14,64,57,7,16409,2875,0,19284,96,eamc
24,prefill,15,64,58,6,11382,2445,0,13827,96,eamc
24,prefill,16,64,57,7,12285,2824,0,15109,96,eamc
24,prefill,17,64,58,6,10523,2404,0,12927,96,eamc
24,prefill,18,64,57,7,9601,2822,0,12423,96,eamc
24,prefill,19,64,56,8,12655,3365,0,16020,96,eamc
24,prefill,20,64,55,9,15262,3634,0,18896,96,eamc
24,prefill,21,64,49,15,24630,6134,0,30764,96,eamc
24,prefill,22,64,55,9,7759,3600,0,11359,96,eamc
24,prefill,23,64,54,10,8395,3987,0,12382,96,eamc
24,prefill,24,64,52,12,16326,4911,0,21237,96,eamc
24,prefill,25,64,57,7,8250,2812,0,11062,96,eamc
24,prefill,26,64,58,6,5531,2474,0,8005,96,eamc
24,prefill,27,64,56,8,12676,3208,0,15884,96,eamc
24,prefill,28,64,59,5,6700,2199,0,8899,96,eamc
24,prefill,29,64,58,6,11007,2765,0,13772,96,eamc
24,prefill,30,64,57,7,10863,3193,0,14056,96,eamc
24,prefill,31,64,57,7,5602,3155,0,8757,96,eamc
24,prefill,32,64,56,8,13782,3802,0,17584,96,eamc
24,prefill,33,64,61,3,7153,1450,0,8603,96,eamc
24,prefill,34,64,59,5,7483,2304,0,9787,96,eamc
24,prefill,35,64,57,7,11934,3189,0,15123,96,eamc
24,prefill,36,64,49,15,28957,6994,0,35951,96,eamc
24,prefill,37,64,55,9,15895,4096,0,19991,96,eamc
24,prefill,38,64,55,9,12195,4033,0,16228,96,eamc
24,prefill,39,64,55,9,20062,4094,0,24156,96,eamc
32,prefill,0,64,41,23,28430,9110,0,37540,96,eamc
32,prefill,1,64,37,27,45539,10816,0,56355,96,eamc
32,prefill,2,64,35,29,37982,11595,0,49577,96,eamc
32,prefill,3,64,48,16,27497,6405,0,33902,96,eamc
32,prefill,4,64,55,9,13707,3675,0,17382,96,eamc
32,prefill,5,64,54,10,18036,4107,0,22143,96,eamc
32,prefill,6,64,59,5,4596,2036,0,6632,96,eamc
32,prefill,7,64,54,10,13703,4001,0,17704,96,eamc
32,prefill,8,64,52,12,12425,4736,0,17161,96,eamc
32,prefill,9,64,56,8,15353,3186,0,18539,96,eamc
32,prefill,10,64,57,7,13027,2810,0,15837,96,eamc
32,prefill,11,64,58,6,7499,2392,0,9891,96,eamc
32,prefill,12,64,54,10,13468,3981,0,17449,96,eamc
32,prefill,13,64,58,6,4983,2377,0,7360,96,eamc
32,prefill,14,64,55,9,8539,3580,0,12119,96,eamc
32,prefill,15,64,53,11,6475,4327,0,10802,96,eamc
32,prefill,16,64,55,9,7656,3574,0,11230,96,eamc
32,prefill,17,64,62,2,506,783,0,1289,96,eamc
32,prefill,18,64,55,9,11472,3563,0,15035,96,eamc
32,prefill,19,64,58,6,8585,2389,0,10974,96,eamc
32,prefill,20,64,54,10,14189,3985,0,18174,96,eamc
32,prefill,21,64,51,13,26352,5308,0,31660,96,eamc
32,prefill,22,64,61,3,4749,1189,0,5938,96,eamc
32,prefill,23,64,55,9,19109,3709,0,22818,96,eamc
32,prefill,24,64,55,9,19370,3653,0,23023,96,eamc
32,prefill,25,64,57,7,12757,2819,0,15576,96,eamc
32,prefill,26,64,52,12,20972,4795,0,25767,96,eamc
32,prefill,27,64,56,8,7515,3171,0,10686,96,eamc
32,prefill,28,64,61,3,2800,1300,0,4100,96,eamc
32,prefill,29,64,54,10,16084,4587,0,20671,96,eamc
32,prefill,30,64,59,5,5997,2263,0,8260,96,eamc
32,prefill,31,64,55,9,20481,4127,0,24608,96,eamc
32,prefill,32,64,58,6,10715,2720,0,13435,96,eamc
32,prefill,33,64,54,10,18910,4806,0,23716,96,eamc
32,prefill,34,64,58,6,13220,2900,0,16120,96,eamc
32,prefill,35,64,54,10,14574,4594,0,19168,96,eamc
32,prefill,36,64,48,16,25134,7322,0,32456,96,eamc
32,prefill,37,64,56,8,18249,3690,0,21939,96,eamc
32,prefill,38,64,57,7,13093,3180,0,16273,96,eamc
32,prefill,39,64,53,11,27007,5054,0,32061,96,eamc
40,prefill,0,64,44,20,28559,8931,0,37490,96,eamc
40,prefill,1,64,33,31,48189,12384,0,60573,96,eamc
40,prefill,2,64,33,31,40592,12281,0,52873,96,eamc
40,prefill,3,64,53,11,15031,4476,0,19507,96,eamc
40,prefill,4,64,53,11,12348,4403,0,16751,96,eamc
40,prefill,5,64,55,9,15339,3590,0,18929,96,eamc
40,prefill,6,64,51,13,19010,5182,0,24192,96,eamc
40,prefill,7,64,53,11,14246,4417,0,18663,96,eamc
40,prefill,8,64,61,3,8086,1243,0,9329,96,eamc
40,prefill,9,64,57,7,12678,2823,0,15501,96,eamc
40,prefill,10,64,60,4,3702,1547,0,5249,96,eamc
40,prefill,11,64,58,6,5346,2316,0,7662,96,eamc
40,prefill,12,64,58,6,4548,2335,0,6883,96,eamc
40,prefill,13,64,60,4,2812,1539,0,4351,96,eamc
40,prefill,14,64,60,4,2510,1540,0,4050,96,eamc
40,prefill,15,64,61,3,2825,1192,0,4017,96,eamc
40,prefill,16,64,58,6,5219,2351,0,7570,96,eamc
40,prefill,17,64,57,7,8929,2715,0,11644,96,eamc
40,prefill,18,64,60,4,4337,1609,0,5946,96,eamc
40,prefill,19,64,59,5,6922,1984,0,8906,96,eamc
40,prefill,20,64,55,9,12042,3585,0,15627,96,eamc
40,prefill,21,64,54,10,11795,3963,0,15758,96,eamc
40,prefill,22,64,57,7,6597,2759,0,9356,96,eamc
40,prefill,23,64,54,10,4865,3979,0,8844,96,eamc
40,prefill,24,64,56,8,4804,3213,0,8017,96,eamc
40,prefill,25,64,59,5,3384,1971,0,5355,96,eamc
40,prefill,26,64,56,8,9643,3095,0,12738,96,eamc
40,prefill,27,64,57,7,3821,2695,0,6516,96,eamc
40,prefill,28,64,62,2,2283,850,0,3133,96,eamc
40,prefill,29,64,57,7,9665,3177,0,12842,96,eamc
40,prefill,30,64,63,1,2456,464,0,2920,96,eamc
40,prefill,31,64,59,5,7693,2270,0,9963,96,eamc
40,prefill,32,64,60,4,6248,1805,0,8053,96,eamc
40,prefill,33,64,58,6,4892,2665,0,7557,96,eamc
40,prefill,34,64,61,3,5220,1340,0,6560,96,eamc
40,prefill,35,64,57,7,11185,3180,0,14365,96,eamc
40,prefill,36,64,50,14,10038,6309,0,16347,96,eamc
40,prefill,37,64,55,9,16221,4071,0,20292,96,eamc
40,prefill,38,64,59,5,7275,2248,0,9523,96,eamc
40,prefill,39,64,57,7,12278,3215,0,15493,96,eamc
48,prefill,0,64,53,11,13854,4265,0,18119,96,eamc
48,prefill,1,64,36,28,34423,11044,0,45467,96,eamc
48,prefill,2,64,37,27,27293,10611,0,37904,96,eamc
48,prefill,3,64,43,21,27506,8316,0,35822,96,eamc
48,prefill,4,64,52,12,15888,4788,0,20676,96,eamc
48,prefill,5,64,50,14,19885,5537,0,25422,96,eamc
48,prefill,6,64,56,8,6758,3287,0,10045,96,eamc
48,prefill,7,64,52,12,5382,4702,0,10084,96,eamc
48,prefill,8,64,60,4,7674,1587,0,9261,96,eamc
48,prefill,9,64,56,8,14188,3155,0,17343,96,eamc
48,prefill,10,64,58,6,5865,2415,0,8280,96,eamc
48,prefill,11,64,55,9,8845,3536,0,12381,96,eamc
48,prefill,12,64,61,3,4200,1179,0,5379,96,eamc
48,prefill,13,64,54,10,13596,3944,0,17540,96,eamc
48,prefill,14,64,59,5,1288,1951,0,3239,96,eamc
48,prefill,15,64,56,8,1736,3130,0,4866,96,eamc
48,prefill,16,64,59,5,3306,1989,0,5295,96,eamc
48,prefill,17,64,58,6,3109,2295,0,5404,96,eamc
48,prefill,18,64,55,9,11127,3490,0,14617,96,eamc
48,prefill,19,64,58,6,1749,2331,0,4080,96,eamc
48,prefill,20,64,53,11,15650,4291,0,19941,96,eamc
48,prefill,21,64,52,12,12400,4769,0,17169,96,eamc
48,prefill,22,64,56,8,9622,3201,0,12823,96,eamc
48,prefill,23,64,59,5,5413,1982,0,7395,96,eamc
48,prefill,24,64,55,9,7308,3530,0,10838,96,eamc
48,prefill,25,64,54,10,16740,3980,0,20720,96,eamc
48,prefill,26,64,54,10,13565,3942,0,17507,96,eamc
48,prefill,27,64,58,6,4127,2453,0,6580,96,eamc
48,prefill,28,64,55,9,14313,4079,0,18392,96,eamc
48,prefill,29,64,58,6,7850,2713,0,10563,96,eamc
48,prefill,30,64,59,5,10058,2243,0,12301,96,eamc
48,prefill,31,64,63,1,2223,460,0,2683,96,eamc
48,prefill,32,64,59,5,8977,2254,0,11231,96,eamc
48,prefill,33,64,61,3,2676,1347,0,4023,96,eamc
48,prefill,34,64,60,4,9268,1808,0,11076,96,eamc
48,prefill,35,64,60,4,11231,1934,0,13165,96,eamc
48,prefill,36,64,53,11,13460,4920,0,18380,96,eamc
48,prefill,37,64,59,5,10864,2263,0,13127,96,eamc
48,prefill,38,64,59,5,7181,2258,0,9439,96,eamc
48,prefill,39,64,59,5,7561,2290,0,9851,96,eamc
56,prefill,0,64,54,10,15738,3983,0,19721,96,eamc
56,prefill,1,64,43,21,24745,8246,0,32991,96,eamc
56,prefill,2,64,34,30,28034,11764,0,39798,96,eamc
56,prefill,3,64,41,23,30620,9070,0,39690,96,eamc
56,prefill,4,64,52,12,9473,4732,0,14205,96,eamc
56,prefill,5,64,49,15,22905,6067,0,28972,96,eamc
56,prefill,6,64,56,8,4221,3051,0,7272,96,eamc
56,prefill,7,64,53,11,10022,4338,0,14360,96,eamc
56,prefill,8,64,53,11,20995,4322,0,25317,96,eamc
56,prefill,9,64,54,10,15095,3978,0,19073,96,eamc
56,prefill,10,64,55,9,13080,3578,0,16658,96,eamc
56,prefill,11,64,53,11,17176,4324,0,21500,96,eamc
56,prefill,12,64,56,8,12122,3163,0,15285,96,eamc
56,prefill,13,64,52,12,16088,4748,0,20836,96,eamc
56,prefill,14,64,53,11,19999,4388,0,24387,96,eamc
56,prefill,15,64,53,11,10286,4381,0,14667,96,eamc
56,prefill,16,64,51,13,14224,5217,0,19441,96,eamc
56,prefill,17,64,55,9,16717,3571,0,20288,96,eamc
56,prefill,18,64,50,14,17404,5601,0,23005,96,eamc
56,prefill,19,64,47,17,16962,6688,0,23650,96,eamc
56,prefill,20,64,44,20,10410,7743,0,18153,96,eamc
56,prefill,21,64,45,19,16474,7406,0,23880,96,eamc
